m,n_team,rule,seed,ok,runtime
3,4,borda,0,False,0.0001838000025600195
3,4,borda,1,False,0.00013669999316334724
3,4,borda,2,False,8.670007809996605e-05
3,4,borda,3,False,9.030010551214218e-05
3,4,borda,4,False,8.759996853768826e-05
3,4,borda,5,False,0.00011290004476904869
3,4,borda,6,False,7.84001313149929e-05
3,4,borda,7,False,8.779997006058693e-05
3,4,borda,8,False,7.469998672604561e-05
3,4,borda,9,False,0.0002476000227034092
3,4,borda,10,True,0.00013770000077784061
3,4,borda,11,False,8.09000339359045e-05
3,4,borda,12,False,7.449998520314693e-05
3,4,borda,13,False,0.00010479986667633057
3,4,borda,14,True,0.00012810016050934792
3,4,borda,15,False,0.00011550006456673145
3,4,borda,16,False,0.00013870000839233398
3,4,borda,17,False,7.600011304020882e-05
3,4,borda,18,False,0.00012240000069141388
3,4,borda,19,False,7.08999577909708e-05
3,4,borda,20,False,0.00011370005086064339
3,4,borda,21,True,0.00016469997353851795
3,4,borda,22,False,0.00010339985601603985
3,4,borda,23,False,6.229989230632782e-05
3,4,borda,24,False,0.0003170999698340893
3,4,borda,25,False,0.00013020006008446217
3,4,borda,26,False,0.0001322000753134489
3,4,borda,27,False,0.00010349997319281101
3,4,borda,28,True,0.00013299984857439995
3,4,borda,29,False,6.54000323265791e-05
3,4,borda,30,False,0.0002443001139909029
3,4,borda,31,False,0.0002966001629829407
3,4,borda,32,False,0.0003459998406469822
3,4,borda,33,False,0.00011600018478929996
3,4,borda,34,False,8.350005373358727e-05
3,4,borda,35,False,0.00011419993825256824
3,4,borda,36,False,7.779989391565323e-05
3,4,borda,37,True,0.0001417000312358141
3,4,borda,38,False,0.00014130002819001675
3,4,borda,39,False,0.00012989994138479233
3,4,borda,40,False,0.00031729997135698795
3,4,borda,41,True,0.000264100031927228
3,4,borda,42,False,0.00027849990874528885
3,4,borda,43,False,0.0001689000055193901
3,4,borda,44,False,0.00019860011525452137
3,4,borda,45,False,0.00011070002801716328
3,4,borda,46,False,7.16999638825655e-05
3,4,borda,47,True,0.00013649999164044857
3,4,borda,48,False,7.38000962883234e-05
3,4,borda,49,False,0.00011190003715455532
3,5,plurality,0,False,0.00010160007514059544
3,5,plurality,1,False,0.0001137999352067709
3,5,plurality,2,True,0.00023859995417296886
3,5,plurality,3,False,0.00015580002218484879
3,5,plurality,4,False,8.270004764199257e-05
3,5,plurality,5,False,0.00012550014071166515
3,5,plurality,6,False,0.0001083998940885067
3,5,plurality,7,True,0.00021030008792877197
3,5,plurality,8,False,7.559987716376781e-05
3,5,plurality,9,True,0.00013569998554885387
3,5,plurality,10,False,0.0005009998567402363
3,5,plurality,11,False,0.0003692000173032284
3,5,plurality,12,False,8.390005677938461e-05
3,5,plurality,13,False,0.00026139989495277405
